Seu Número,No Documento,Vl. Aquisição,Vl. Nominal,Prazo,Tx. Juros,Sacado,Chave
Aquisição,,,,,,,
00000000151400000000494,11298001,"R$ 7.720,39","R$ 7.818,31",10,"37,3839 %",IBERO IND BRASILEIRA DE EQUIP RODOV LTDA,35190903107671000144550010000112981000414462
00000000151400000000494,11299001,"R$ 5.330,61","R$ 5.402,26",11,"35,7813 %",IBERO IND BRASILEIRA DE EQUIP RODOV LTDA,35190903107671000144550010000112991000411452
00000000151400000000494,11300001,"R$ 4.078,96","R$ 4.130,70",10,"37,3884 %",IBERO IND BRASILEIRA DE EQUIP RODOV LTDA,35190903107671000144550010000113001000419340
00000000151400000000494,11301001,"R$ 4.075,92","R$ 4.130,70",11,"35,7772 %",IBERO IND BRASILEIRA DE EQUIP RODOV LTDA,35190903107671000144550010000113011000419348
00000000151400000000494,11302001,"R$ 8.732,86","R$ 8.843,63",10,"37,3873 %",IBERO IND BRASILEIRA DE EQUIP RODOV LTDA,35190903107671000144550010000113021000414220
00000000151400000000494,11304001,"R$ 8.315,52","R$ 8.421,00",10,"37,3888 %",IBERO IND BRASILEIRA DE EQUIP RODOV LTDA,35190903107671000144550010000113041000410202
00000000151400000000494,11305001,"R$ 5.827,09","R$ 5.901,00",10,"37,3858 %",IBERO IND BRASILEIRA DE EQUIP RODOV LTDA,35190903107671000144550010000113051000416208
00000000151400000000494,11306001,"R$ 11.643,81","R$ 11.791,50",10,"37,3863 %",IBERO IND BRASILEIRA DE EQUIP RODOV LTDA,35190903107671000144550010000113061000412307
00000000151400000000494,11307001,"R$ 8.726,34","R$ 8.843,63",11,"35,7803 %",IBERO IND BRASILEIRA DE EQUIP RODOV LTDA,35190903107671000144550010000113071000414226
