Seu Número,No Documento,Vl. Aquisição,Vl. Nominal,Prazo,Tx. Juros,Sacado,Chave
Aquisição,,,,,,,
00000000002100000000502,127200001,"R$ 1.240,99","R$ 1.263,00",16,"31,9023 %",GAFOR S.A,35190951986958000134550010001272001004643324
00000000002100000000502,127204001,"R$ 542,12","R$ 548,00",9,"35,2644 %",PEDRA AGROINDUSTRIAL S.A.,35190951986958000134550010001272041002349428
00000000002100000000502,127210001,"R$ 789,09","R$ 808,60",23,"30,6827 %",COMPANHIA MELHORAMENTOS NORTE DO,35190951986958000134550010001272101004642324
00000000002100000000503,127211001,"R$ 933,62","R$ 956,70",23,"30,6775 %",GLENCANE BIOENERGIA S.A,35190951986958000134550010001272111005678761
00000000002100000000503,127212001,"R$ 327,77","R$ 338,20",31,"29,0003 %",BP BIOENERGIA TROPICAL S.A.,35190951986958000134550010001272121005313566
00000000002100000000503,127215001,"R$ 405,71","R$ 414,32",20,"30,2910 %",EAGLE TRUCK SERVICOS AUTOMOTORES EIRELI,35190951986958000134550010001272151003949350
00000000002100000000503,127215002,"R$ 401,55","R$ 414,32",31,"28,9806 %",EAGLE TRUCK SERVICOS AUTOMOTORES EIRELI,35190951986958000134550010001272151003949350
00000000002100000000503,127215003,"R$ 397,38","R$ 414,32",40,"30,0823 %",EAGLE TRUCK SERVICOS AUTOMOTORES EIRELI,35190951986958000134550010001272151003949350
00000000002100000000503,127215004,"R$ 393,23","R$ 414,33",50,"30,1388 %",EAGLE TRUCK SERVICOS AUTOMOTORES EIRELI,35190951986958000134550010001272151003949350
00000000002100000000503,127221001,"R$ 624,75","R$ 638,00",20,"30,2692 %",HTUBE MANUTENCAO DE EQUIP INDUSTRIAIS EI,35190951986958000134550010001272211005668762
00000000002100000000503,127221002,"R$ 611,92","R$ 638,00",40,"30,0750 %",HTUBE MANUTENCAO DE EQUIP INDUSTRIAIS EI,35190951986958000134550010001272211005668762
00000000002100000000503,127221003,"R$ 599,09","R$ 638,00",61,"29,6876 %",HTUBE MANUTENCAO DE EQUIP INDUSTRIAIS EI,35190951986958000134550010001272211005668762
00000000002100000000503,127222001,"R$ 326,41","R$ 333,33",20,"30,2561 %",ROD TRANSPORTES LTDA,35190951986958000134550010001272221005513561
00000000002100000000503,127222002,"R$ 319,70","R$ 333,33",40,"30,0859 %",ROD TRANSPORTES LTDA,35190951986958000134550010001272221005513561
00000000002100000000503,127222003,"R$ 313,01","R$ 333,34",61,"29,6884 %",ROD TRANSPORTES LTDA,35190951986958000134550010001272221005513561
00000000002100000000503,127224001,"R$ 416,74","R$ 425,00",18,"31,6232 %",EMBRAC EMPRESA BRASILEIRA DE CARGAS LTDA,35190951986958000134550010001272241002349447
00000000002100000000503,127225001,"R$ 922,43","R$ 942,00",20,"30,2808 %",REZENTRANS TRANSPORTES RODOVIARIOS LTDA,35190951986958000134550010001272251003949950
00000000002100000000503,127225002,"R$ 903,49","R$ 942,00",40,"30,0779 %",REZENTRANS TRANSPORTES RODOVIARIOS LTDA,35190951986958000134550010001272251003949950
00000000002100000000503,127225003,"R$ 884,56","R$ 942,00",61,"29,6814 %",REZENTRANS TRANSPORTES RODOVIARIOS LTDA,35190951986958000134550010001272251003949950
00000000002100000000503,127229001,"R$ 9.009,80","R$ 9.302,80",31,"29,7124 %",SUZANO PAPEL E CELULOSE S A,35190951986958000134550010001272291007197579
00000000002100000000503,127230001,"R$ 2.426,88","R$ 2.505,80",31,"29,7114 %",SUZANO PAPEL E CELULOSE S A,35190951986958000134550010001272301004647329
00000000002100000000503,127234001,"R$ 997,23","R$ 1.040,46",40,"30,6500 %",JSL S.A.,35190951986958000134550010001272341002349451
00000000002100000000503,127236001,"R$ 2.048,48","R$ 2.090,51",19,"30,9146 %",SABA TRANSPORTES LTDA,35190951986958000134550010001272361007370143
00000000002100000000503,127238001,"R$ 1.026,03","R$ 1.070,51",40,"30,6511 %",JSL S.A.,35190951986958000134550010001272381002391244
00000000002100000000503,127240001,"R$ 183,31","R$ 191,26",40,"30,6650 %",JSL S A,35190951986958000134550010001272401004640320
00000000002100000000503,127247001,"R$ 354,73","R$ 362,50",21,"29,6944 %",MG COMERCIO DE PECAS E SERVICOS LTDA,35190951986958000134550010001272471009435645
00000000002100000000503,127247002,"R$ 347,44","R$ 362,50",40,"30,6465 %",MG COMERCIO DE PECAS E SERVICOS LTDA,35190951986958000134550010001272471009435645
00000000002100000000503,127252001,"R$ 226,05","R$ 231,00",21,"29,6850 %",TRANS MRA LIMA TRANSP DE PROD QUIM LTDA,35190951986958000134550010001272521005213567
00000000002100000000503,127253001,"R$ 150,70","R$ 154,00",21,"29,6850 %",TRANS MRA LIMA TRANSP DE PROD QUIM LTDA,35190951986958000134550010001272531007642926
00000000002100000000503,127255001,"R$ 129,78","R$ 134,00",31,"29,7088 %",BP BIOENERGIA ITUIUTABA LTDA,35190951986958000134550010001272551003949150
00000000002100000000503,127258001,"R$ 690,83","R$ 705,00",19,"30,9042 %",TRANSPORTADORA CICLON LTDA,35190951986958000134550010001272581002691240
