Seu Número,No Documento,Vl. Aquisição,Vl. Nominal,Prazo,Tx. Juros,Sacado,Chave
Aquisição,,,,,,,
00000000002100000000488,126796001,"R$ 303,49","R$ 310,00",21,"29,0053 %",TRANSPORTADORA ARICANDUVA LTDA,35190951986958000134550010001267961007839142
00000000002100000000488,126802001,"R$ 631,73","R$ 644,36",19,"30,0242 %",TRANS MR LIMA TRANSPORTES DE PRODUTOS,35190951986958000134550010001268021008113543
00000000002100000000488,126802002,"R$ 625,82","R$ 644,35",29,"28,8602 %",TRANS MR LIMA TRANSPORTES DE PRODUTOS,35190951986958000134550010001268021008113543
00000000002100000000488,126800001,"R$ 373,35","R$ 381,33",21,"28,8896 %",MCM COMERCIO DE MOLAS LTDA,35190951986958000134550010001268001004593325
00000000002100000000488,126800002,"R$ 369,62","R$ 381,33",31,"28,8582 %",MCM COMERCIO DE MOLAS LTDA,35190951986958000134550010001268001004593325
00000000002100000000488,126800003,"R$ 365,89","R$ 381,34",41,"28,9435 %",MCM COMERCIO DE MOLAS LTDA,35190951986958000134550010001268001004593325
00000000002100000000488,126801001,"R$ 474,04","R$ 483,52",19,"30,0337 %",EAGLE TRUCK SERVICOS AUTOMOTORES EIRELI,35190951986958000134550010001268011001088767
00000000002100000000488,126801002,"R$ 469,61","R$ 483,51",29,"28,8492 %",EAGLE TRUCK SERVICOS AUTOMOTORES EIRELI,35190951986958000134550010001268011001088767
00000000002100000000488,126791001,"R$ 1.759,55","R$ 1.833,86",41,"28,9485 %",JSL S.A.,35190951986958000134550010001267911001598767
00000000002100000000488,126792001,"R$ 1.425,70","R$ 1.485,91",41,"28,9481 %",JSL S.A.,35190951986958000134550010001267921006713545
00000000002100000000488,126793001,"R$ 2.820,32","R$ 2.939,43",41,"28,9488 %",JSL S.A.,35190951986958000134550010001267931001642590
00000000002100000000488,126794001,"R$ 1.594,29","R$ 1.661,62",41,"28,9482 %",JSL S/A,35190951986958000134550010001267941002348910
